Group,Gesture,Accuracy,Precision,Recall,F1 score
DM11,about,64.9485,7.1429,20,10.5263
DM12,about,72.335,20,57.5,29.6774
DM13,about,69.808,15.6627,44.0678,23.1111
DM15,about,72.3545,15.6757,35.3659,21.7228
DM16,about,71.269,13.9918,31.4815,19.3732
DM18,about,68.9487,11.5987,27.2059,16.2637
DM19,about,67.4048,10.3797,25.9494,14.8282
DM20,about,67.8161,11.9048,30.5556,17.134
DM21,about,66.1702,11.8794,32.5243,17.4026
DM22,about,66.5549,11.6585,30.7359,16.9048
DM23,about,66.4479,11.3602,30.4,16.5397
DM24,about,67.547,11.8477,31.1111,17.1604
DM25,about,67.6134,11.3874,30.2083,16.5399
DM26,about,67.8221,11.8959,31.5789,17.2817
DM27,about,67.0499,11.2128,30.1538,16.347
DM28,about,68.3257,12.2381,32.0809,17.7175
DM29,about,68.0244,11.7032,30.6011,16.9312
DM30,about,66.6843,12.7778,30.1969,17.9571
DM31,about,66.0463,12.1528,29.2887,17.1779
DM32,about,65.5197,11.7695,28.9421,16.734
DM33,about,66.637,12.1332,28.2288,16.9717
DM34,about,66.3095,12.0871,28.6477,17.0011
DM35,about,65.9105,11.8896,28.4264,16.7665
DM36,about,65.7967,11.5646,27.7325,16.3226
DM37,about,65.8957,11.6951,28.1201,16.5197
Group,Gesture,Accuracy,Precision,Recall,F1 score
DM11,about,63.4021,6.7797,20,10.1266
DM12,about,71.5736,20,60,30
DM13,about,64.0489,13.7931,47.4576,21.374
DM15,about,62.8307,12.7341,41.4634,19.4842
DM16,about,60.9137,10.5413,34.2593,16.122
DM18,about,61.4507,9.7852,30.1471,14.7748
DM19,about,61.0381,9.0909,28.481,13.7825
DM20,about,61.0405,9.5819,30.5556,14.5889
DM21,about,60.3191,10.177,33.4951,15.6109
DM22,about,59.7508,9.7754,32.0346,14.9798
DM23,about,60.1487,9.842,32.4,15.0979
DM24,about,61.1044,10.2041,33.3333,15.625
DM25,about,60.7525,10.1643,34.375,15.6894
DM26,about,60.5742,10.1744,34.5395,15.7186
DM27,about,59.5598,9.6257,33.2308,14.9274
DM28,about,60.8909,10.5532,35.8382,16.3051
DM29,about,60.9543,10.2606,34.4262,15.8093
DM30,about,59.8943,11.0213,32.8228,16.5017
DM31,about,59.1298,10.4755,31.7992,15.7595
DM32,about,58.3513,10.6962,33.7325,16.2422
DM33,about,58.4132,10.3118,31.7343,15.5656
DM34,about,58.6798,10.6113,32.7402,16.0279
DM35,about,57.9808,10.4695,32.8257,15.8756
DM36,about,57.8689,10.2178,32.137,15.5057
DM37,about,58.0284,10.2164,32.0695,15.4962
DM11,and,44.8454,3.2258,15,5.3097
DM12,and,48.731,4.4944,20,7.3394
DM13,and,57.4171,5.7692,20,8.9552
DM15,and,55.8201,4.6429,16.25,7.2222
DM16,and,53.401,4.8346,18.2692,7.6459
DM18,and,55.9087,6.5401,24.031,10.2819
