Group,Gesture,Accuracy,Precision,Recall,F1 score
DM1,about,67.0103,9.2593,25,13.5135
DM2,about,72.8426,16.1616,40,23.0216
DM3,about,72.6003,19.7531,54.2373,28.9593
DM5,about,72.7513,18.3673,43.9024,25.8993
DM6,about,71.4721,18.0812,45.3704,25.8575
DM8,about,70.6601,17.6301,44.8529,25.3112
DM9,about,69.4118,16.6667,44.9367,24.3151
DM10,about,70.0544,17.119,45.5556,24.8862
DM11,about,69.3617,17.6573,49.0291,25.964
DM12,about,70.1485,17.9739,47.619,26.0973
DM13,about,69.8163,17.8363,48.8,26.1242
DM14,about,70.6283,18.9008,52.2222,27.7559
DM15,about,71.3759,18.7179,50.6944,27.3408
DM16,about,71.4286,19.2308,52.6316,28.169
DM17,about,71.4192,18.6421,49.8462,27.1357
DM18,about,71.5207,18.5946,49.711,27.0653
DM19,about,71.0503,18.2644,49.4536,26.6765
DM20,about,71.4927,21.8297,52.7352,30.8776
DM21,about,71.8058,21.9704,52.7197,31.0154
DM22,about,71.4695,21.3873,51.6966,30.257
DM23,about,71.0051,20.4669,48.524,28.7904
DM24,about,70.8958,20.4309,48.9324,28.826
DM25,about,71.2446,20.9402,49.7462,29.4737
DM26,about,71.2716,20.7158,49.1028,29.1384
DM27,about,71.6588,21.0738,49.6051,29.5808
DM1,and,57.732,8.1081,30,12.766
DM2,and,63.9594,16.8831,65,26.8041
DM3,and,65.445,16.8269,58.3333,26.1194
DM5,and,65.7407,15.7088,51.25,24.0469
DM6,and,63.8579,15.3846,53.8462,23.9316
DM8,and,62.7547,15.1064,55.0388,23.7062
DM9,and,63.8754,15.9259,55.8442,24.7839
DM10,and,63.1579,14.8627,52.8736,23.203
DM11,and,64.0957,15.2838,53.0303,23.7288
DM12,and,63.9195,15.0327,52.7523,23.3978
DM13,and,64.4357,14.8103,50.8403,22.9384
DM14,and,65.2261,15.9193,54.4061,24.6314
DM15,and,66.0273,16.736,57.2954,25.9051
DM16,and,66.1765,17.238,59.2593,26.7071
DM17,and,65.4402,16.407,56.1129,25.3901
DM18,and,66.4209,16.6519,55.2941,25.5956
DM19,and,66.3078,16.4003,54.3175,25.1938
DM20,and,66.0766,16.6029,52.7981,25.2619
DM21,and,65.5684,16.0261,51.1574,24.4064
DM22,and,65.8303,15.6932,49.011,23.774
DM23,and,65.4335,16.3799,51.8145,24.891
DM24,and,65.4736,16.3804,51.8447,24.8951
DM25,and,65.89,16.2901,51.215,24.7181
DM26,and,65.9537,16.1216,50.722,24.4667
DM27,and,65.8768,16.0487,50.6108,24.3697
DM1,can,54.6392,13.8298,65,22.807
DM2,can,59.3909,11.039,42.5,17.5258
DM3,can,60.3839,15.3527,61.6667,24.5847
DM5,can,59.9206,15.6923,63.75,25.1852
DM6,can,60.203,17.3913,71.028,27.9412
DM8,can,62.5917,18.6667,75.3846,29.9237
DM9,can,64.5675,19.8664,78.8079,31.7333
DM10,can,63.8838,19.3362,77.907,30.9827
DM11,can,65.0532,19.8444,79.6875,31.7757
DM12,can,64.1112,19.4286,79.4393,31.2213
DM13,can,64.7857,19.9157,80.7692,31.9527
DM14,can,65.8263,20.6084,82.3529,32.967
DM15,can,66.6175,20.5056,79.6364,32.6136
DM16,can,66.6317,20.7597,80.756,33.0288
DM17,can,66.3272,20.0503,76.8489,31.8031
DM18,can,65.5914,19.8777,78.3133,31.7073
DM19,can,65.9296,20.1895,78.4703,32.1159
DM20,can,65.284,19.9609,77.8626,31.7757
DM21,can,65.3169,19.7236,75.6627,31.2905
DM22,can,64.779,19.495,76.3218,31.0571
DM23,can,64.1409,19.5489,76.6316,31.151
DM24,can,64.7878,19.9791,77.1717,31.7408
DM25,can,65.3382,20.3526,77.842,32.2684
DM26,can,64.894,19.7776,75.8813,31.3771
DM27,can,64.891,19.8601,76.2075,31.5089
DM1,cop,60.3093,9.8592,35,15.3846
DM2,cop,58.1218,9.6774,37.5,15.3846
DM3,cop,59.5113,10.1852,36.6667,15.942
DM5,cop,58.5979,10.7744,40,16.9761
DM6,cop,60.203,10.137,36.6337,15.8798
DM8,cop,60.4727,10.3297,37.9032,16.2349
DM9,cop,60.2768,10.2041,37.931,16.0819
DM10,cop,59.8306,11.0938,42.7711,17.6179
DM11,cop,59.2553,10.5191,40.9574,16.7391
DM12,cop,59.0321,10.3194,40.1914,16.4223
DM13,cop,58.9239,10.5556,41.4847,16.8291
DM14,cop,59.1437,10.7034,42,17.0593
DM15,cop,59.0557,10.6103,41.6974,16.9162
DM16,cop,59.0686,10.8252,42.6573,17.2682
DM17,cop,59.4612,11.2134,43.6482,17.8429
DM18,cop,58.2796,11.2199,45.4268,17.9952
DM19,cop,59.1504,11.7476,46.4183,18.75
DM20,cop,59.6037,12.533,48.3461,19.9057
DM21,cop,60.0101,12.7135,48.9051,20.1807
DM22,cop,60.3584,12.9753,49.7685,20.584
DM23,cop,60.0178,13.2369,50.4237,20.9692
DM24,cop,60.1586,13.3119,50.4065,21.0616
DM25,cop,60.188,13.086,49.3204,20.684
DM26,cop,60.0667,12.9447,48.972,20.4767
DM27,cop,60.3223,13.0998,49.1892,20.6897
DM1,deaf,74.2268,28.5714,100,44.4444
DM2,deaf,76.6497,22.3404,52.5,31.3433
DM3,deaf,74.8691,24.6988,68.3333,36.2832
DM5,deaf,76.8519,24.0437,55,33.4601
DM6,deaf,76.4467,25.1908,64.7059,36.2637
DM8,deaf,76.5281,25.4545,66.6667,36.8421
DM9,deaf,75.2941,24.7002,70.5479,36.5897
DM10,deaf,75.3176,24.3644,69.2771,36.0502
DM11,deaf,74.2553,23.8095,72.1925,35.809
DM12,deaf,74.9401,24.7604,74.8792,37.2149
DM13,deaf,75.1531,24.8154,74.0088,37.1681
DM14,deaf,76.4306,26.491,76.4,39.3409
DM15,deaf,77.4253,27.5,77.4074,40.5825
DM16,deaf,76.9608,27.3171,78.3217,40.5063
DM17,deaf,77.3325,27.931,79.4118,41.3265
DM18,deaf,78.1567,29.1803,80.9091,42.8916
DM19,deaf,78.1495,29.2181,81.8444,43.0629
DM20,deaf,78.2299,28.8826,80.6878,42.5384
DM21,deaf,78.0684,29.1925,81.6377,43.0065
DM22,deaf,77.491,28.6771,82.5059,42.561
DM23,deaf,77.2008,27.8831,76.2419,40.8329
DM24,deaf,77.3896,28.3005,77.2257,41.4214
