Group,Gesture,Accuracy,Precision,Recall,F1 score
DM11,about,67.5258,7.8431,20,11.2676
DM12,about,75.1269,22.1154,57.5,31.9444
DM13,about,65.6195,12.9032,40.678,19.5918
DM15,about,65.0794,11.1111,31.7073,16.4557
DM16,about,63.2487,8.7662,25,12.9808
DM18,about,62.2657,7.9692,22.7941,11.8095
DM19,about,62.1453,7.4398,21.519,11.0569
DM20,about,62.3714,8.1439,23.8889,12.1469
DM21,about,61.5426,8.64,26.2136,12.9964
DM22,about,61.2362,8.596,25.974,12.9171
DM23,about,61.0674,8.3333,25.6,12.5737
DM24,about,61.9848,8.5366,25.9259,12.844
DM25,about,61.7115,8.6093,27.0833,13.0653
DM26,about,61.5896,8.7409,27.6316,13.2806
DM27,about,60.5782,8.2936,26.7692,12.6638
DM28,about,62.0891,9.0406,28.3237,13.7063
DM29,about,62.089,8.8674,27.5956,13.4219
DM30,about,61.7701,11.146,31.0722,16.4067
DM31,about,61.4688,10.847,30.5439,16.0088
DM32,about,60.6452,10.7534,31.3373,16.0122
DM33,about,60.8647,10.4818,29.7048,15.4957
DM34,about,61.2302,10.958,31.1388,16.2112
DM35,about,60.4333,10.5572,30.4569,15.6794
DM36,about,60.4984,10.452,30.1794,15.5266
DM37,about,60.5118,10.7259,31.2796,15.9742
Group,Gesture,Accuracy,Precision,Recall,F1 score
DM11,about,61.8557,7.8125,25,11.9048
DM12,about,66.4975,17.6056,62.5,27.4725
DM13,about,56.719,12.0482,50.8475,19.4805
DM15,about,53.5714,9.8507,40.2439,15.8273
DM16,about,53.8071,9.3677,37.037,14.9533
DM18,about,55.0122,9.0551,33.8235,14.2857
DM19,about,55.4325,8.2474,30.3797,12.973
DM20,about,55.9589,9.3472,35,14.7541
DM21,about,55.6383,9.4315,35.4369,14.898
DM22,about,55.1509,8.8681,32.9004,13.9706
DM23,about,55.1181,8.6354,32.4,13.6364
DM24,about,56.4226,9.5755,35.9259,15.1208
DM25,about,55.8834,9.319,36.1111,14.8148
DM26,about,55.9874,9.5157,36.8421,15.1249
DM27,about,55.2562,9.1411,35.6923,14.5546
DM28,about,56.5284,9.7212,37.2832,15.4214
DM29,about,56.7937,9.5445,36.0656,15.0943
DM30,about,56.2748,10.5921,35.2298,16.2873
DM31,about,56.1368,10.4375,34.9372,16.0731
DM32,about,55.5078,10.5507,36.3273,16.3522
DM33,about,55.6051,10.3825,35.0554,16.0202
DM34,about,55.9794,10.6955,36.121,16.5041
DM35,about,55.6101,10.5736,35.8714,16.3328
DM36,about,55.5926,10.4885,35.7259,16.2162
DM37,about,55.7346,10.6019,36.1769,16.3981
Group,Gesture,Accuracy,Precision,Recall,F1 score
DM11,about,68.0412,8,20,11.4286
DM12,about,73.3503,20.1835,55,29.5302
DM13,about,68.9354,16.3842,49.1525,24.5763
DM15,about,66.0053,13.0802,37.8049,19.4357
DM16,about,64.5685,11.746,34.2593,17.4941
DM18,about,65.1182,10.9626,30.1471,16.0784
DM19,about,63.6678,9.6703,27.8481,14.3556
DM20,about,64.3073,10.8779,31.6667,16.1932
DM21,about,63.0851,10.5178,31.5534,15.7767
DM22,about,62.3383,10.0719,30.303,15.1188
DM23,about,61.2861,9.7592,30.8,14.8219
DM24,about,62.2649,10.8265,34.4444,16.4748
DM25,about,62.0435,10.3743,33.6806,15.8626
DM26,about,62.0448,10.6855,34.8684,16.358
DM27,about,61.2681,10.0935,33.2308,15.4839
DM28,about,62.3656,10.8638,35.2601,16.6099
DM29,about,62.9037,10.7174,33.8798,16.2837
