Group,Gesture,Accuracy,Precision,Recall,F1 score
DM1,about,63.1579,54.5455,75,63.1579
DM2,about,88.8889,100,75,85.7143
DM3,about,71.4286,72.7273,72.7273,72.7273
DM4,about,73.6842,85.7143,60,70.5882
DM5,about,71.4286,71.4286,55.5556,62.5
DM6,about,66.6667,61.1111,91.6667,73.3333
DM7,about,94.1176,100,87.5,93.3333
DM8,about,77.7778,83.3333,62.5,71.4286
DM9,about,94.4444,100,87.5,93.3333
DM10,about,95.8333,92.3077,100,96
DM11,about,94.4444,88.8889,100,94.1176
DM12,about,63.1579,53.8462,87.5,66.6667
DM13,about,94.1176,100,87.5,93.3333
DM15,about,88.8889,100,80,88.8889
DM16,about,95.2381,91.6667,100,95.6522
DM18,about,86.9565,100,75,85.7143
DM19,about,90.4762,81.8182,100,90
DM20,about,76.1905,75,66.6667,70.5882
DM21,about,90.4762,84.6154,100,91.6667
DM22,about,80,87.5,70,77.7778
DM23,about,88.8889,87.5,87.5,87.5
DM24,about,84.2105,77.7778,87.5,82.3529
DM25,about,66.6667,60,75,66.6667
DM26,about,73.3333,100,33.3333,50
DM27,about,94.4444,100,87.5,93.3333
DM28,about,94.7368,100,87.5,93.3333
DM29,about,88.2353,80,100,88.8889
DM30,about,78.5714,72.3404,94.4444,81.9277
DM31,about,94.4444,100,87.5,93.3333
DM32,about,90.4762,88.8889,88.8889,88.8889
DM33,about,96.875,94.1176,100,96.9697
DM34,about,82.3529,77.7778,87.5,82.3529
DM35,about,73.913,80,66.6667,72.7273
DM36,about,95,90,100,94.7368
DM37,about,100,100,100,100
DM1,and,70,66.6667,66.6667,66.6667
DM2,and,83.3333,85.7143,75,80
DM3,and,77.2727,80,72.7273,76.1905
DM4,and,88.8889,100,75,85.7143
DM5,and,88.8889,87.5,87.5,87.5
DM6,and,93.5484,100,84.6154,91.6667
DM7,and,70.5882,63.6364,87.5,73.6842
DM8,and,66.6667,100,25,40
DM9,and,94.1176,100,87.5,93.3333
DM10,and,83.3333,77.7778,87.5,82.3529
DM11,and,94.4444,100,87.5,93.3333
DM12,and,83.3333,85.7143,75,80
DM13,and,88.2353,80,100,88.8889
DM15,and,94.1176,100,87.5,93.3333
DM16,and,94.7368,100,90,94.7368
DM18,and,70,64.2857,90,75
DM19,and,75,100,50,66.6667
DM20,and,83.3333,77.7778,87.5,82.3529
DM21,and,73.6842,72.7273,80,76.1905
DM22,and,83.3333,100,62.5,76.9231
DM23,and,88.8889,100,75,85.7143
DM24,and,85.7143,80,88.8889,84.2105
DM25,and,94.4444,100,87.5,93.3333
DM26,and,87.5,77.7778,100,87.5
DM27,and,85,80,88.8889,84.2105
DM28,and,95,100,88.8889,94.1176
DM29,and,100,100,100,100
DM30,and,82.0513,81.8182,85.7143,83.7209
DM31,and,78.9474,72.7273,88.8889,80
DM32,and,100,100,100,100
DM33,and,97.0588,94.4444,100,97.1429
DM34,and,88.2353,87.5,87.5,87.5
DM35,and,89.4737,87.5,87.5,87.5
DM36,and,83.3333,85.7143,75,80
DM37,and,76.4706,70,87.5,77.7778
DM1,can,78.2609,76.9231,83.3333,80
DM2,can,88.8889,87.5,87.5,87.5
DM3,can,66.6667,60,66.6667,63.1579
DM4,can,70,63.6364,77.7778,70
DM5,can,88.8889,80,100,88.8889
DM6,can,85,100,70,82.3529
DM7,can,100,100,100,100
DM8,can,72.2222,63.6364,87.5,73.6842
DM9,can,90,100,77.7778,87.5
DM10,can,88.8889,87.5,87.5,87.5
DM11,can,72.2222,80,50,61.5385
DM12,can,88.8889,80,100,88.8889
DM13,can,94.1176,88.8889,100,94.1176
DM15,can,100,100,100,100
DM16,can,90.4762,100,81.8182,90
DM18,can,71.4286,63.6364,77.7778,70
DM19,can,94.7368,100,87.5,93.3333
DM20,can,89.4737,80,100,88.8889
DM21,can,77.7778,75,75,75
DM22,can,85,75,100,85.7143
DM23,can,88.8889,80,100,88.8889
DM24,can,94.7368,88.8889,100,94.1176
DM25,can,66.6667,60,75,66.6667
DM26,can,80,100,50,66.6667
DM27,can,88.2353,100,75,85.7143
DM28,can,78.9474,75,75,75
DM29,can,88.8889,80,100,88.8889
DM30,can,81.25,72.7273,100,84.2105
DM31,can,89.4737,81.8182,100,90
DM32,can,94.4444,88.8889,100,94.1176
DM33,can,96.875,100,93.75,96.7742
DM34,can,82.3529,85.7143,75,80
DM35,can,73.6842,77.7778,70,73.6842
DM36,can,88.8889,100,75,85.7143
DM37,can,94.1176,88.8889,100,94.1176
DM1,cop,70,66.6667,66.6667,66.6667
DM2,cop,100,100,100,100
DM3,cop,63.1579,80,40,53.3333
DM4,cop,73.6842,61.5385,100,76.1905
DM5,cop,77.7778,66.6667,100,80
DM6,cop,61.9048,80,36.3636,50
DM7,cop,82.3529,85.7143,75,80
DM8,cop,77.7778,75,75,75
DM9,cop,66.6667,60,75,66.6667
DM10,cop,83.3333,77.7778,87.5,82.3529
DM11,cop,61.1111,55.5556,62.5,58.8235
DM12,cop,83.3333,85.7143,75,80
DM13,cop,100,100,100,100
DM15,cop,94.1176,88.8889,100,94.1176
DM16,cop,78.9474,66.6667,100,80
DM18,cop,66.6667,62.5,55.5556,58.8235
DM19,cop,73.6842,66.6667,75,70.5882
DM20,cop,89.4737,80,100,88.8889
DM21,cop,80,100,55.5556,71.4286
DM22,cop,78.9474,75,75,75
DM23,cop,83.3333,72.7273,100,84.2105
DM24,cop,73.6842,66.6667,75,70.5882
DM25,cop,84.2105,77.7778,87.5,82.3529
DM26,cop,77.7778,100,66.6667,80
DM27,cop,88.8889,80,100,88.8889
DM28,cop,94.7368,100,87.5,93.3333
DM29,cop,77.7778,66.6667,100,80
DM30,cop,69.4444,64,88.8889,74.4186
DM31,cop,100,100,100,100
