Group,Gesture,Accuracy,Precision,Recall,F1 score
DM1,about,52.6316,46.1538,75,57.1429
DM2,about,100,100,100,100
DM3,about,85.7143,83.3333,90.9091,86.9565
DM4,about,84.2105,88.8889,80,84.2105
DM5,about,66.6667,58.3333,77.7778,66.6667
DM6,about,75,71.4286,83.3333,76.9231
DM7,about,58.8235,60,37.5,46.1538
DM8,about,72.2222,80,50,61.5385
DM9,about,94.4444,100,87.5,93.3333
DM10,about,95.8333,92.3077,100,96
DM11,about,66.6667,57.1429,100,72.7273
DM12,about,89.4737,80,100,88.8889
DM13,about,70.5882,63.6364,87.5,73.6842
DM15,about,100,100,100,100
DM16,about,85.7143,78.5714,100,88
DM18,about,78.2609,76.9231,83.3333,80
DM19,about,47.619,40,44.4444,42.1053
DM20,about,66.6667,60,66.6667,63.1579
DM21,about,66.6667,75,54.5455,63.1579
DM22,about,80,80,80,80
DM23,about,61.1111,57.1429,50,53.3333
DM24,about,89.4737,87.5,87.5,87.5
DM25,about,83.3333,85.7143,75,80
DM26,about,60,50,33.3333,40
DM27,about,94.4444,100,87.5,93.3333
DM28,about,89.4737,87.5,87.5,87.5
DM29,about,88.2353,87.5,87.5,87.5
DM30,about,84.2857,90.3226,77.7778,83.5821
DM31,about,88.8889,80,100,88.8889
DM32,about,80.9524,85.7143,66.6667,75
DM33,about,78.125,71.4286,93.75,81.0811
DM34,about,82.3529,77.7778,87.5,82.3529
DM35,about,86.9565,84.6154,91.6667,88
DM36,about,65,60,66.6667,63.1579
DM37,about,88.2353,80,100,88.8889
DM1,and,70,66.6667,66.6667,66.6667
DM2,and,94.4444,88.8889,100,94.1176
DM3,and,77.2727,75,81.8182,78.2609
DM4,and,88.8889,87.5,87.5,87.5
DM5,and,72.2222,63.6364,87.5,73.6842
DM6,and,61.2903,52.9412,69.2308,60
DM7,and,58.8235,54.5455,75,63.1579
DM8,and,88.8889,80,100,88.8889
DM9,and,94.1176,88.8889,100,94.1176
DM10,and,83.3333,85.7143,75,80
DM11,and,94.4444,88.8889,100,94.1176
DM12,and,88.8889,100,75,85.7143
DM13,and,64.7059,58.3333,87.5,70
DM15,and,94.1176,100,87.5,93.3333
DM16,and,84.2105,81.8182,90,85.7143
DM18,and,50,50,50,50
DM19,and,65,80,40,53.3333
DM20,and,66.6667,62.5,62.5,62.5
DM21,and,89.4737,83.3333,100,90.9091
DM22,and,77.7778,83.3333,62.5,71.4286
DM23,and,88.8889,87.5,87.5,87.5
DM24,and,100,100,100,100
DM25,and,72.2222,66.6667,75,70.5882
DM26,and,93.75,87.5,100,93.3333
DM27,and,60,53.8462,77.7778,63.6364
DM28,and,80,72.7273,88.8889,80
DM29,and,100,100,100,100
DM30,and,74.359,76.1905,76.1905,76.1905
DM31,and,73.6842,66.6667,88.8889,76.1905
DM32,and,89.4737,90,90,90
DM33,and,100,100,100,100
DM34,and,88.2353,100,75,85.7143
DM35,and,57.8947,50,62.5,55.5556
DM36,and,66.6667,62.5,62.5,62.5
DM37,and,52.9412,50,62.5,55.5556
DM1,can,69.5652,72.7273,66.6667,69.5652
DM2,can,94.4444,88.8889,100,94.1176
DM3,can,61.9048,53.8462,77.7778,63.6364
DM4,can,70,63.6364,77.7778,70
DM5,can,66.6667,62.5,62.5,62.5
DM6,can,85,76.9231,100,86.9565
DM7,can,88.2353,100,75,85.7143
DM8,can,22.2222,25,37.5,30
DM9,can,80,77.7778,77.7778,77.7778
DM10,can,72.2222,61.5385,100,76.1905
DM11,can,61.1111,66.6667,25,36.3636
DM12,can,83.3333,100,62.5,76.9231
DM13,can,82.3529,100,62.5,76.9231
DM15,can,82.3529,100,62.5,76.9231
DM16,can,57.1429,66.6667,36.3636,47.0588
DM18,can,61.9048,57.1429,44.4444,50
DM19,can,84.2105,77.7778,87.5,82.3529
DM20,can,84.2105,72.7273,100,84.2105
DM21,can,100,100,100,100
DM22,can,75,66.6667,88.8889,76.1905
DM23,can,88.8889,87.5,87.5,87.5
DM24,can,84.2105,72.7273,100,84.2105
DM25,can,83.3333,72.7273,100,84.2105
DM26,can,80,71.4286,83.3333,76.9231
DM27,can,94.1176,100,87.5,93.3333
DM28,can,73.6842,63.6364,87.5,73.6842
DM29,can,100,100,100,100
DM30,can,81.25,81.25,81.25,81.25
DM31,can,73.6842,66.6667,88.8889,76.1905
DM32,can,72.2222,66.6667,75,70.5882
DM33,can,81.25,77.7778,87.5,82.3529
DM34,can,94.1176,100,87.5,93.3333
DM35,can,84.2105,100,70,82.3529
DM36,can,83.3333,72.7273,100,84.2105
DM37,can,76.4706,70,87.5,77.7778
DM1,cop,85,87.5,77.7778,82.3529
DM2,cop,94.4444,88.8889,100,94.1176
DM3,cop,57.8947,58.3333,70,63.6364
DM4,cop,84.2105,72.7273,100,84.2105
DM5,cop,83.3333,85.7143,75,80
DM6,cop,61.9048,60,81.8182,69.2308
DM7,cop,76.4706,75,75,75
DM8,cop,77.7778,75,75,75
DM9,cop,72.2222,63.6364,87.5,73.6842
DM10,cop,55.5556,50,50,50
DM11,cop,61.1111,66.6667,25,36.3636
DM12,cop,83.3333,85.7143,75,80
DM13,cop,82.3529,72.7273,100,84.2105
DM15,cop,94.1176,88.8889,100,94.1176
DM16,cop,63.1579,57.1429,50,53.3333
DM18,cop,90.4762,88.8889,88.8889,88.8889
DM19,cop,26.3158,28.5714,50,36.3636
DM20,cop,89.4737,80,100,88.8889
DM21,cop,75,75,66.6667,70.5882
DM22,cop,84.2105,100,62.5,76.9231
DM23,cop,77.7778,75,75,75
DM24,cop,73.6842,66.6667,75,70.5882
DM25,cop,78.9474,70,87.5,77.7778
DM26,cop,77.7778,100,66.6667,80
DM27,cop,72.2222,63.6364,87.5,73.6842
DM28,cop,52.6316,44.4444,50,47.0588
DM29,cop,72.2222,66.6667,75,70.5882
DM30,cop,69.4444,65.2174,83.3333,73.1707
DM31,cop,75,63.6364,100,77.7778
DM32,cop,94.7368,100,87.5,93.3333
DM33,cop,81.25,77.7778,87.5,82.3529
DM34,cop,76.4706,75,75,75
DM35,cop,61.9048,53.8462,77.7778,63.6364
DM36,cop,66.6667,62.5,62.5,62.5
DM37,cop,76.4706,70,87.5,77.7778
DM1,deaf,78.9474,75,75,75
DM2,deaf,83.3333,85.7143,75,80
DM3,deaf,70,66.6667,66.6667,66.6667
DM4,deaf,85,80,88.8889,84.2105
DM5,deaf,61.1111,57.1429,50,53.3333
DM6,deaf,71.4286,71.4286,55.5556,62.5
DM7,deaf,82.3529,72.7273,100,84.2105
DM8,deaf,63.1579,53.8462,87.5,66.6667
DM9,deaf,73.6842,75,66.6667,70.5882
DM10,deaf,77.7778,70,87.5,77.7778
DM11,deaf,77.7778,70,87.5,77.7778
DM12,deaf,94.4444,100,87.5,93.3333
DM13,deaf,88.2353,87.5,87.5,87.5
DM15,deaf,94.1176,100,87.5,93.3333
DM16,deaf,80,72.7273,88.8889,80
DM18,deaf,84.2105,76.9231,100,86.9565
DM19,deaf,61.1111,54.5455,75,63.1579
DM20,deaf,83.3333,77.7778,87.5,82.3529
DM21,deaf,84.2105,77.7778,87.5,82.3529
DM22,deaf,88.8889,87.5,87.5,87.5
DM23,deaf,72.2222,66.6667,75,70.5882
DM24,deaf,90.4762,81.8182,100,90
